lambda		value

Calibration:
lambda:	800
Abs:	0.0003

Data:
#
900		0.959676
899.5		0.967332
899		0.982739
898.5		0.971717
898		0.964685
897.5		0.985699
897		1.01934
896.5		1.017
896		0.97376
895.5		0.969343
895		0.937284
894.5		0.964724
894		0.963991
893.5		1.00308
893		1.02209
892.5		0.996183
892		1.02326
891.5		0.997905
891		0.980061
890.5		0.996695
890		0.97196
889.5		1.01206
889		0.998193
888.5		1.03941
888		0.998895
887.5		1.00181
887		0.982716
886.5		0.981895
886		1.0153
885.5		0.959543
885		0.95396
884.5		1.01845
884		1.00647
883.5		0.977414
883		1.03035
882.5		1.00536
882		0.989304
881.5		0.982687
881		0.991131
880.5		0.991138
880		1.00711
879.5		0.999898
879		0.985493
878.5		0.992471
878		0.984235
877.5		0.987706
877		1.01121
876.5		0.989014
876		0.980341
875.5		0.994517
875		1.02001
874.5		0.99139
874		0.991431
873.5		0.995027
873		0.990304
872.5		0.999798
872		0.979185
871.5		0.994682
871		0.992207
870.5		0.977734
870		0.986587
869.5		0.988022
869		0.988695
868.5		0.991986
868		0.994809
867.5		0.997
867		0.992506
866.5		0.996793
866		0.991432
865.5		0.994301
865		0.98933
864.5		0.983168
864		0.981241
863.5		0.992208
863		0.986571
862.5		0.9995
862		0.98365
861.5		0.99402
861		0.993666
860.5		1.00281
860		0.987799
859.5		0.986846
859		0.994147
858.5		0.988573
858		0.99176
857.5		0.996505
857		0.996821
856.5		0.987214
856		0.991474
855.5		0.988315
855		0.992762
854.5		0.988615
854		0.993752
853.5		0.990772
853		0.993354
852.5		0.983046
852		0.988739
851.5		0.995431
851		0.991405
850.5		0.989806
850		0.992175
849.5		0.990519
849		0.990807
848.5		0.990055
848		0.992989
847.5		0.989924
847		0.989139
846.5		0.989646
846		0.993677
845.5		0.996535
845		0.996738
844.5		0.99358
844		0.996146
843.5		0.989375
843		0.98943
842.5		0.996835
842		0.987965
841.5		0.995446
841		0.993481
840.5		0.994361
840		0.990908
839.5		0.991805
839		0.991884
838.5		0.992193
838		0.994452
837.5		0.992479
837		0.994156
836.5		0.996923
836		0.993468
835.5		0.995444
835		0.993846
834.5		0.995927
834		0.992055
833.5		0.993549
833		0.994041
832.5		0.995426
832		0.994628
831.5		0.991449
831		0.99602
830.5		0.997408
830		0.994527
829.5		0.995715
829		0.992051
828.5		0.995116
828		0.996912
827.5		0.994914
827		0.99671
826.5		0.992927
826		0.99451
825.5		0.996112
825		0.997504
824.5		0.995408
824		0.995505
823.5		0.995202
823		0.993411
822.5		0.997297
822		0.994712
821.5		0.995704
821		0.994606
820.5		0.99312
820		0.995007
819.5		0.995299
819		0.997799
818.5		0.995207
818		0.995895
817.5		0.998195
817		0.9961
816.5		0.996002
816		0.993512
815.5		0.994514
815		0.997697
814.5		0.994799
814		0.994797
813.5		0.996096
813		0.994998
812.5		0.994202
812		0.9965
811.5		0.998398
811		0.9952
810.5		0.997304
810		0.9959
809.5		0.993515
809		0.997898
808.5		0.994396
808		0.995198
807.5		0.996997
807		0.997299
806.5		0.997397
806		0.995795
805.5		0.996102
805		0.997096
804.5		0.997001
804		0.996002
803.5		1.0002
803		0.995904
802.5		0.995699
802		0.995408
801.5		0.998
801		0.996593
800.5		0.99282
800		0.996799
799.5		0.996799
799		0.996007
798.5		0.994502
798		0.996601
797.5		0.997094
797		0.994903
796.5		0.996303
796		0.99421
795.5		0.996704
795		0.9972
794.5		0.997301
794		0.996804
793.5		0.996606
793		0.996799
792.5		0.996001
792		0.999299
791.5		0.994712
791		0.992135
790.5		0.997003
790		0.994717
789.5		0.996101
789		0.997104
788.5		0.999
788		0.996506
