lambda		value

Calibration:
lambda:	800
Abs:	-0.0005

Data:
#
900		1.0097
899.5		0.955068
899		1.03359
898.5		1.00679
898		0.961649
897.5		0.988075
897		1.04657
896.5		1.02373
896		0.983651
895.5		0.944624
895		0.96694
894.5		1.00603
894		0.941801
893.5		1.01839
893		1.02908
892.5		0.94954
892		1.04517
891.5		0.979667
891		0.996157
890.5		0.958467
890		0.994986
889.5		1.0008
889		0.986759
888.5		1.01103
888		0.990467
887.5		0.999497
887		1.0072
886.5		1.01668
886		1.01824
885.5		0.98083
885		0.97975
884.5		1.02238
884		1.01139
883.5		0.958258
883		1.00843
882.5		0.995356
882		0.995206
881.5		0.94998
881		0.971722
880.5		0.988026
880		0.99574
879.5		1.00781
879		1.01419
878.5		0.97753
878		1.00301
877.5		1.01818
877		1.01294
876.5		1.00383
876		0.980659
875.5		0.997362
875		1.00609
874.5		1.00364
874		0.999799
873.5		1.01136
873		1.00232
872.5		0.984549
872		0.976117
871.5		0.996391
871		1.01173
870.5		0.986393
870		0.996499
869.5		0.999701
869		0.994402
868.5		0.994194
868		0.991122
867.5		0.997902
867		0.998103
866.5		0.994192
866		0.992235
865.5		0.988611
865		1.00211
864.5		0.979521
864		1.00319
863.5		0.987223
863		0.98688
862.5		0.990117
862		0.992673
861.5		0.997112
861		1.00251
860.5		1.00832
860		0.988899
859.5		0.999203
859		0.997621
858.5		0.994539
858		0.996231
857.5		1.0021
857		0.988586
856.5		0.994454
856		0.996137
855.5		0.991787
855		0.998811
854.5		0.990108
854		0.995343
853.5		0.994448
853		0.996829
852.5		0.989363
852		0.995163
851.5		0.998908
851		0.992695
850.5		0.994561
850		0.997922
849.5		0.995164
849		0.99595
848.5		0.989079
848		0.997139
847.5		0.995953
847		0.996942
846.5		0.99665
846		0.997236
845.5		0.994856
845		0.994666
844.5		0.99852
844		0.995162
843.5		0.995478
843		0.99773
842.5		0.99832
842		0.99724
841.5		0.997626
841		0.997533
840.5		0.996342
840		0.997531
839.5		0.995363
839		0.996637
838.5		0.996544
838		1.00059
837.5		1.0004
837		1.00119
836.5		0.996331
836		0.99911
835.5		0.996141
835		0.997223
834.5		0.999305
834		1.00119
833.5		0.998711
833		1.00149
832.5		1.00089
832		0.998509
831.5		0.999702
831		0.999602
830.5		1.0013
830		1.00259
829.5		1.00189
829		0.998213
828.5		1.0002
828		1.00239
827.5		1.00149
827		0.999701
826.5		0.999104
826		1.0015
825.5		1.0007
825		1.0012
824.5		1.0015
824		1.0006
823.5		1.003
823		1.0019
822.5		1.0033
822		0.999103
821.5		1.00319
821		0.999501
820.5		0.997708
820		1.0012
819.5		1.0024
819		1.0036
818.5		0.999501
818		1.0027
817.5		1.00321
817		1.0001
816.5		1.0007
816		1.0001
815.5		0.998605
815		1.0042
814.5		1.002
814		1.0011
813.5		1.0022
813		1.0008
812.5		1.0014
812		1.0004
811.5		1.0023
811		1.0015
810.5		0.9998
810		1.0008
809.5		0.999003
809		1.0002
808.5		1.0028
808		1.0039
807.5		1.0005
807		1.002
806.5		1.0022
806		1.0022
805.5		1.0021
805		1.0038
804.5		1
804		1.0004
803.5		1.0034
803		1.0011
802.5		1.0021
802		1.0009
801.5		1.0015
801		1.00501
800.5		1.0005
800		1.002
799.5		1.003
799		0.998803
798.5		1.0033
798		1.0022
797.5		1.00481
797		1.0023
796.5		1.0019
796		1.0002
795.5		1.0024
795		1.0048
794.5		1.00519
794		1.0024
793.5		0.9999
793		1.0034
792.5		1.0029
792		1.0054
791.5		1.0005
791		1.0002
790.5		1.0018
790		0.999104
789.5		1.0038
789		1.00349
788.5		1.0044
788		1.0013
787.5		1.00439
