lambda		value

Calibration:
lambda:	800
Abs:	0.0004

Data:
#
900		0.574402
899.5		0.552647
899		0.572582
898.5		0.570615
898		0.552731
897.5		0.566187
897		0.584482
896.5		0.578128
896		0.555977
895.5		0.56309
895		0.581983
894.5		0.567796
894		0.562137
893.5		0.609809
893		0.589362
892.5		0.549966
892		0.587438
891.5		0.567139
891		0.570807
890.5		0.575278
890		0.560071
889.5		0.573296
889		0.567369
888.5		0.585061
888		0.557453
887.5		0.557077
887		0.560747
886.5		0.566154
886		0.577927
885.5		0.571627
885		0.561885
884.5		0.5672
884		0.589625
883.5		0.565317
883		0.590039
882.5		0.577304
882		0.572128
881.5		0.557435
881		0.565677
880.5		0.583342
880		0.587471
879.5		0.58187
879		0.587662
878.5		0.571888
878		0.577726
877.5		0.566074
877		0.582934
876.5		0.571213
876		0.574914
875.5		0.579712
875		0.587345
874.5		0.576943
874		0.577175
873.5		0.58242
873		0.572121
872.5		0.583342
872		0.566036
871.5		0.574511
871		0.579757
870.5		0.573516
870		0.57313
869.5		0.57063
869		0.574887
868.5		0.567178
868		0.572384
867.5		0.5759
867		0.576496
866.5		0.575323
866		0.571343
865.5		0.575342
865		0.574247
864.5		0.56461
864		0.568107
863.5		0.571286
863		0.568046
862.5		0.572842
862		0.568328
861.5		0.570574
861		0.576111
860.5		0.578308
860		0.567956
859.5		0.571557
859		0.571287
858.5		0.573388
858		0.571386
857.5		0.576251
857		0.570336
856.5		0.571768
856		0.571287
855.5		0.570863
855		0.571046
854.5		0.569802
854		0.572052
853.5		0.574873
853		0.570082
852.5		0.566049
852		0.568366
851.5		0.572223
851		0.569213
850.5		0.57092
850		0.570976
849.5		0.568649
849		0.569056
848.5		0.568095
848		0.569129
847.5		0.569551
847		0.568579
846.5		0.567653
846		0.567885
845.5		0.568317
845		0.57044
844.5		0.566871
844		0.568139
843.5		0.567591
843		0.568366
842.5		0.568645
842		0.567186
841.5		0.567482
841		0.568352
840.5		0.569308
840		0.567998
839.5		0.56611
839		0.567313
838.5		0.567108
838		0.568711
837.5		0.568587
837		0.567763
836.5		0.569231
836		0.567257
835.5		0.567155
835		0.567699
834.5		0.567753
834		0.567541
833.5		0.567742
833		0.568037
832.5		0.568914
832		0.568302
831.5		0.567621
831		0.567761
830.5		0.56885
830		0.56877
829.5		0.568766
829		0.567525
828.5		0.568438
828		0.569094
827.5		0.568166
827		0.569791
826.5		0.569194
826		0.568577
825.5		0.568837
825		0.569189
824.5		0.569988
824		0.569174
823.5		0.568929
823		0.569046
822.5		0.569026
822		0.569205
821.5		0.568588
821		0.569231
820.5		0.569406
820		0.568461
819.5		0.569571
819		0.5712
818.5		0.567962
818		0.570284
817.5		0.570612
817		0.570557
816.5		0.570615
816		0.569432
815.5		0.568978
815		0.570312
814.5		0.56777
814		0.570399
813.5		0.57027
813		0.570828
812.5		0.569029
812		0.570114
811.5		0.572187
811		0.570857
810.5		0.569346
810		0.569857
809.5		0.568849
809		0.57027
808.5		0.571357
808		0.571643
807.5		0.571686
807		0.570071
806.5		0.571643
806		0.572201
805.5		0.571728
805		0.571314
804.5		0.570943
804		0.570315
803.5		0.571085
803		0.570244
802.5		0.570928
802		0.568434
801.5		0.571143
801		0.572216
800.5		0.569861
800		0.572329
799.5		0.570728
799		0.57073
798.5		0.572328
798		0.570429
797.5		0.573404
797		0.571671
796.5		0.571743
796		0.570188
795.5		0.570472
795		0.572114
794.5		0.571543
794		0.571828
793.5		0.571871
793		0.572029
792.5		0.571986
792		0.57356
791.5		0.570502
791		0.570589
790.5		0.571828
790		0.570574
789.5		0.573443
789		0.573297
788.5		0.573215
788		0.57043
