lambda		value

Calibration:
lambda:	800
Abs:	-0.0004

Data:
#
900		0.309469
899.5		0.309636
899		0.29423
898.5		0.316289
898		0.312179
897.5		0.31372
897		0.310508
896.5		0.312359
896		0.305085
895.5		0.316182
895		0.3106
894.5		0.303405
894		0.303707
893.5		0.316314
893		0.330265
892.5		0.293399
892		0.304598
891.5		0.297747
891		0.313442
890.5		0.320589
890		0.31521
889.5		0.317661
889		0.307484
888.5		0.320379
888		0.322662
887.5		0.311909
887		0.297868
886.5		0.325248
886		0.309621
885.5		0.309824
885		0.309084
884.5		0.316893
884		0.317972
883.5		0.304604
883		0.3248
882.5		0.315731
882		0.307662
881.5		0.311715
881		0.31906
880.5		0.318507
880		0.324744
879.5		0.323055
879		0.313463
878.5		0.313904
878		0.317981
877.5		0.313724
877		0.323724
876.5		0.32118
876		0.322386
875.5		0.317877
875		0.320783
874.5		0.323515
874		0.318424
873.5		0.329108
873		0.326201
872.5		0.316534
872		0.318571
871.5		0.321969
871		0.326557
870.5		0.318864
870		0.319296
869.5		0.319002
869		0.325702
868.5		0.321353
868		0.319234
867.5		0.321243
867		0.317224
866.5		0.322684
866		0.321386
865.5		0.322809
865		0.323308
864.5		0.322252
864		0.324958
863.5		0.326146
863		0.320775
862.5		0.323682
862		0.323893
861.5		0.324303
861		0.330119
860.5		0.32812
860		0.325337
859.5		0.324039
859		0.327253
858.5		0.331347
858		0.327679
857.5		0.330306
857		0.328271
856.5		0.328546
856		0.327918
855.5		0.330134
855		0.329634
854.5		0.328651
854		0.330195
853.5		0.330887
853		0.331153
852.5		0.329492
852		0.329023
851.5		0.331844
851		0.330734
850.5		0.331421
850		0.334653
849.5		0.332807
849		0.334585
848.5		0.330906
848		0.333136
847.5		0.332083
847		0.333991
846.5		0.33376
846		0.336394
845.5		0.335873
845		0.336264
844.5		0.335373
844		0.338106
843.5		0.336217
843		0.337117
842.5		0.339494
842		0.336455
841.5		0.339072
841		0.338531
840.5		0.33999
840		0.339621
839.5		0.339911
839		0.339466
838.5		0.341596
838		0.341352
837.5		0.342267
837		0.341814
836.5		0.344044
836		0.342498
835.5		0.342241
835		0.343682
834.5		0.344054
834		0.345276
833.5		0.342656
833		0.344482
832.5		0.346184
832		0.345561
831.5		0.345588
831		0.34659
830.5		0.34861
830		0.346957
829.5		0.348437
829		0.348228
828.5		0.347843
828		0.349228
827.5		0.350872
827		0.349074
826.5		0.350423
826		0.350389
825.5		0.350433
825		0.352554
824.5		0.351357
824		0.353428
823.5		0.352712
823		0.352589
822.5		0.354006
822		0.352478
821.5		0.353799
821		0.355261
820.5		0.354723
820		0.354056
819.5		0.355222
819		0.355964
818.5		0.355454
818		0.357143
817.5		0.357887
817		0.35745
816.5		0.357036
816		0.357506
815.5		0.357121
815		0.358587
814.5		0.358221
814		0.359064
813.5		0.359572
813		0.361355
812.5		0.359405
812		0.360584
811.5		0.361845
811		0.361247
810.5		0.361668
810		0.361847
809.5		0.362612
809		0.363573
808.5		0.3629
808		0.364027
807.5		0.363445
807		0.364718
806.5		0.365783
806		0.365819
805.5		0.366697
805		0.367294
804.5		0.366071
804		0.367422
803.5		0.368547
803		0.368011
802.5		0.368752
802		0.368878
801.5		0.369867
801		0.371157
800.5		0.369307
800		0.371152
799.5		0.371851
799		0.371571
798.5		0.37249
798		0.373689
797.5		0.373185
797		0.373552
796.5		0.373902
796		0.373803
795.5		0.374289
795		0.376374
794.5		0.376361
794		0.376223
793.5		0.376621
793		0.377649
792.5		0.377622
792		0.378765
791.5		0.377705
791		0.378731
790.5		0.378519
790		0.378984
789.5		0.381257
789		0.380463
788.5		0.382171
788		0.380948
