lambda		value

Calibration:
lambda:	800
Abs:	-0.0004

Data:
#
900		0.448655
899.5		0.446804
899		0.47206
898.5		0.467193
898		0.460459
897.5		0.445989
897		0.488793
896.5		0.460201
896		0.470887
895.5		0.456893
895		0.440288
894.5		0.466707
894		0.468194
893.5		0.452332
893		0.469924
892.5		0.450269
892		0.465387
891.5		0.45933
891		0.477698
890.5		0.438995
890		0.451971
889.5		0.458308
889		0.465189
888.5		0.472735
888		0.461762
887.5		0.467411
887		0.447888
886.5		0.457045
886		0.463412
885.5		0.451276
885		0.442096
884.5		0.460806
884		0.467823
883.5		0.4619
883		0.479334
882.5		0.461026
882		0.450504
881.5		0.449333
881		0.443836
880.5		0.459897
880		0.454094
879.5		0.455624
879		0.457117
878.5		0.449438
878		0.456552
877.5		0.451658
877		0.463584
876.5		0.451405
876		0.454161
875.5		0.451603
875		0.465699
874.5		0.458852
874		0.448675
873.5		0.460243
873		0.451352
872.5		0.455409
872		0.451533
871.5		0.450015
871		0.453074
870.5		0.448396
870		0.449535
869.5		0.448678
869		0.447466
868.5		0.450095
868		0.446828
867.5		0.447942
867		0.447828
866.5		0.448072
866		0.445938
865.5		0.446099
865		0.45257
864.5		0.44672
864		0.449098
863.5		0.44724
863		0.449404
862.5		0.451078
862		0.442816
861.5		0.448606
861		0.45439
860.5		0.449323
860		0.447561
859.5		0.449313
859		0.44483
858.5		0.448714
858		0.446528
857.5		0.448458
857		0.447786
856.5		0.444731
856		0.443828
855.5		0.446611
855		0.445953
854.5		0.44351
854		0.444654
853.5		0.443827
853		0.445039
852.5		0.439322
852		0.445706
851.5		0.446794
851		0.44417
850.5		0.444269
850		0.44462
849.5		0.442854
849		0.443446
848.5		0.441799
848		0.443754
847.5		0.442942
847		0.444203
846.5		0.440974
846		0.444115
845.5		0.444796
845		0.442655
844.5		0.442262
844		0.442974
843.5		0.441604
843		0.441165
842.5		0.443368
842		0.441049
841.5		0.441278
841		0.441078
840.5		0.441127
840		0.440055
839.5		0.439961
839		0.441048
838.5		0.440747
838		0.440154
837.5		0.440763
837		0.440309
836.5		0.439849
836		0.440016
835.5		0.438341
835		0.440885
834.5		0.43925
834		0.440254
833.5		0.439155
833		0.438865
832.5		0.439487
832		0.439507
831.5		0.43909
831		0.439252
830.5		0.439175
830		0.439141
829.5		0.439255
829		0.436997
828.5		0.438291
828		0.438726
827.5		0.437668
827		0.436641
826.5		0.438128
826		0.436665
825.5		0.436896
825		0.435156
824.5		0.437051
824		0.437868
823.5		0.43672
823		0.435598
822.5		0.436631
822		0.435338
821.5		0.43546
821		0.435516
820.5		0.435333
820		0.434388
819.5		0.435082
819		0.435356
818.5		0.434787
818		0.434274
817.5		0.434957
817		0.433497
816.5		0.432038
816		0.433217
815.5		0.432772
815		0.433747
814.5		0.433683
814		0.433557
813.5		0.434787
813		0.431927
812.5		0.432824
812		0.432441
811.5		0.432473
811		0.431698
810.5		0.432605
810		0.432297
809.5		0.430608
809		0.433387
808.5		0.4321
808		0.431014
807.5		0.431873
807		0.430585
806.5		0.433117
806		0.430658
805.5		0.430427
805		0.431245
804.5		0.430213
804		0.43074
803.5		0.431773
803		0.429712
802.5		0.430328
802		0.429327
801.5		0.429513
801		0.431447
800.5		0.428799
800		0.429728
799.5		0.429428
799		0.428628
798.5		0.430127
798		0.430027
797.5		0.429158
797		0.428885
796.5		0.428814
796		0.428073
795.5		0.427987
795		0.428143
794.5		0.427915
794		0.42753
793.5		0.427489
793		0.429028
792.5		0.429271
792		0.4287
791.5		0.427062
791		0.425189
790.5		0.427431
790		0.425797
789.5		0.427615
789		0.426861
788.5		0.427743
788		0.426234
