lambda		value

Calibration:
lambda:	800
Abs:	-0.0002

Data:
#
900		0.434643
899.5		0.43273
899		0.447639
898.5		0.451104
898		0.458869
897.5		0.44795
897		0.457116
896.5		0.461523
896		0.45722
895.5		0.454037
895		0.429911
894.5		0.443797
894		0.456584
893.5		0.46342
893		0.466674
892.5		0.448988
892		0.454968
891.5		0.44985
891		0.45655
890.5		0.452598
890		0.434359
889.5		0.461616
889		0.458158
888.5		0.460872
888		0.448404
887.5		0.454427
887		0.440276
886.5		0.459361
886		0.459429
885.5		0.457029
885		0.446018
884.5		0.459177
884		0.46987
883.5		0.466187
883		0.464932
882.5		0.45819
882		0.450594
881.5		0.464452
881		0.454681
880.5		0.464016
880		0.471537
879.5		0.474688
879		0.467045
878.5		0.462272
878		0.463067
877.5		0.451648
877		0.472644
876.5		0.463282
876		0.467251
875.5		0.468642
875		0.469955
874.5		0.477169
874		0.464786
873.5		0.477987
873		0.469816
872.5		0.46732
872		0.463369
871.5		0.464848
871		0.467833
870.5		0.462494
870		0.463232
869.5		0.467824
869		0.465653
868.5		0.470512
868		0.468669
867.5		0.46662
867		0.462599
866.5		0.467094
866		0.466043
865.5		0.467273
865		0.474394
864.5		0.462741
864		0.471028
863.5		0.469196
863		0.467986
862.5		0.470242
862		0.465386
861.5		0.467324
861		0.475482
860.5		0.475885
860		0.472635
859.5		0.47251
859		0.468914
858.5		0.474824
858		0.471224
857.5		0.4737
857		0.475576
856.5		0.472855
856		0.471165
855.5		0.474117
855		0.473293
854.5		0.474372
854		0.474477
853.5		0.474958
853		0.475166
852.5		0.473202
852		0.475415
851.5		0.477065
851		0.47714
850.5		0.477792
850		0.475794
849.5		0.476209
849		0.477818
848.5		0.473969
848		0.475918
847.5		0.479463
847		0.476364
846.5		0.477035
846		0.477385
845.5		0.477934
845		0.478609
844.5		0.477493
844		0.478321
843.5		0.475516
843		0.478081
842.5		0.478747
842		0.477421
841.5		0.479367
841		0.478282
840.5		0.480372
840		0.478862
839.5		0.479522
839		0.481401
838.5		0.479652
838		0.480345
837.5		0.480811
837		0.481584
836.5		0.481897
836		0.479474
835.5		0.480895
835		0.48254
834.5		0.482625
834		0.483224
833.5		0.483881
833		0.483919
832.5		0.484794
832		0.485135
831.5		0.484397
831		0.485581
830.5		0.485999
830		0.485976
829.5		0.486155
829		0.484855
828.5		0.4865
828		0.487603
827.5		0.48779
827		0.486548
826.5		0.487105
826		0.487231
825.5		0.487596
825		0.489822
824.5		0.488825
824		0.488869
823.5		0.489559
823		0.490869
822.5		0.491846
822		0.489578
821.5		0.490664
821		0.490515
820.5		0.488539
820		0.490468
819.5		0.492152
819		0.491949
818.5		0.492065
818		0.493596
817.5		0.494988
817		0.493353
816.5		0.492458
816		0.492467
815.5		0.491676
815		0.495596
814.5		0.494452
814		0.49555
813.5		0.495098
813		0.494201
812.5		0.495154
812		0.495702
811.5		0.496298
811		0.495152
810.5		0.494961
810		0.497151
809.5		0.495213
809		0.497099
808.5		0.4976
808		0.4975
807.5		0.498799
807		0.497951
806.5		0.499049
806		0.4996
805.5		0.498751
805		0.4996
804.5		0.49995
804		0.49965
803.5		0.501201
803		0.4997
802.5		0.5008
802		0.50005
801.5		0.502049
801		0.503356
800.5		0.501246
800		0.503299
799.5		0.5025
799		0.501447
798.5		0.502548
798		0.503847
797.5		0.505258
797		0.504496
796.5		0.503695
796		0.504889
795.5		0.505041
795		0.505898
794.5		0.507045
794		0.505691
793.5		0.505088
793		0.506599
792.5		0.506495
792		0.508057
791.5		0.506233
791		0.505174
790.5		0.507388
790		0.505778
789.5		0.508244
789		0.508084
788.5		0.509696
788		0.509229
