lambda		value

Calibration:
lambda:	800
Abs:	-0.0002

Data:
#
900		0.794479
899.5		0.774489
899		0.797316
898.5		0.813905
898		0.80611
897.5		0.783123
897		0.814582
896.5		0.803623
896		0.784304
895.5		0.75987
895		0.789437
894.5		0.799397
894		0.771954
893.5		0.804665
893		0.801402
892.5		0.771104
892		0.799555
891.5		0.753739
891		0.794031
890.5		0.782461
890		0.779034
889.5		0.775523
889		0.771021
888.5		0.795546
888		0.809074
887.5		0.799095
887		0.769299
886.5		0.796199
886		0.787971
885.5		0.76304
885		0.763913
884.5		0.776337
884		0.818499
883.5		0.766856
883		0.788462
882.5		0.795799
882		0.778999
881.5		0.767527
881		0.782171
880.5		0.78923
880		0.797565
879.5		0.79862
879		0.782701
878.5		0.786675
878		0.769169
877.5		0.773826
877		0.785532
876.5		0.788959
876		0.791516
875.5		0.799675
875		0.798214
874.5		0.783639
874		0.784987
873.5		0.791337
873		0.782556
872.5		0.785837
872		0.771252
871.5		0.780263
871		0.794861
870.5		0.771783
870		0.773287
869.5		0.778509
869		0.777422
868.5		0.774707
868		0.775195
867.5		0.778433
867		0.781884
866.5		0.772814
866		0.777335
865.5		0.781053
865		0.77875
864.5		0.771994
864		0.775307
863.5		0.778233
863		0.771525
862.5		0.775814
862		0.771021
861.5		0.773162
861		0.777834
860.5		0.782011
860		0.770771
859.5		0.773207
859		0.77174
858.5		0.775251
858		0.772971
857.5		0.77393
857		0.775417
856.5		0.771151
856		0.768232
855.5		0.769375
855		0.769597
854.5		0.767168
854		0.76737
853.5		0.771893
853		0.770695
852.5		0.766897
852		0.766884
851.5		0.770353
851		0.764787
850.5		0.768919
850		0.772201
849.5		0.766634
849		0.771366
848.5		0.764492
848		0.768259
847.5		0.765699
847		0.766802
846.5		0.762862
846		0.763678
845.5		0.766475
845		0.767019
844.5		0.767423
844		0.765531
843.5		0.759194
843		0.764514
842.5		0.763147
842		0.760304
841.5		0.763483
841		0.759921
840.5		0.762583
840		0.763137
839.5		0.7594
839		0.760586
838.5		0.756914
838		0.760768
837.5		0.758655
837		0.760297
836.5		0.75925
836		0.757048
835.5		0.758464
835		0.758135
834.5		0.759531
834		0.756303
833.5		0.758556
833		0.756105
832.5		0.756808
832		0.759869
831.5		0.755615
831		0.757259
830.5		0.758545
830		0.756018
829.5		0.756375
829		0.752309
828.5		0.755106
828		0.754157
827.5		0.753912
827		0.753786
826.5		0.752962
826		0.754888
825.5		0.753811
825		0.752744
824.5		0.753243
824		0.752321
823.5		0.754121
823		0.750923
822.5		0.752876
822		0.750573
821.5		0.750574
821		0.749401
820.5		0.748754
820		0.750274
819.5		0.750575
819		0.748875
818.5		0.748178
818		0.74925
817.5		0.749298
817		0.747926
816.5		0.746779
816		0.744887
815.5		0.744392
815		0.748048
814.5		0.746576
814		0.743974
813.5		0.746499
813		0.744251
812.5		0.74463
812		0.744302
811.5		0.742746
811		0.743528
810.5		0.741643
810		0.742229
809.5		0.740128
809		0.741397
808.5		0.741948
808		0.7422
807.5		0.741145
807		0.742577
806.5		0.739017
806		0.740492
805.5		0.739534
805		0.740641
804.5		0.737883
804		0.736889
803.5		0.738343
803		0.736868
802.5		0.738152
802		0.737304
801.5		0.735485
801		0.738656
800.5		0.733978
800		0.736253
799.5		0.733953
799		0.732415
798.5		0.734439
798		0.734039
797.5		0.734802
797		0.734266
796.5		0.730977
796		0.730393
795.5		0.730458
795		0.731707
794.5		0.729389
794		0.728335
793.5		0.729848
793		0.729154
792.5		0.728617
792		0.730157
791.5		0.726538
791		0.724975
790.5		0.725539
790		0.724846
789.5		0.726392
789		0.725449
788.5		0.726409
788		0.723636
