lambda		value

Calibration:
lambda:	800
Abs:	0

Data:
#
900		0.0282085
899.5		0.0291167
899		0.0278507
898.5		0.0293736
898		0.0286788
897.5		0.0277066
897		0.0308578
896.5		0.0273286
896		0.0278276
895.5		0.0281925
895		0.0257701
894.5		0.0254195
894		0.028622
893.5		0.0290853
893		0.0306646
892.5		0.0239703
892		0.0305328
891.5		0.0291185
891		0.0282303
890.5		0.0272354
890		0.0269499
889.5		0.0261307
889		0.0272983
888.5		0.027328
888		0.028012
887.5		0.0280741
887		0.026955
886.5		0.0284125
886		0.0297716
885.5		0.0282222
885		0.0286192
884.5		0.0269504
884		0.0297772
883.5		0.0275752
883		0.0266406
882.5		0.030101
882		0.0291796
881.5		0.0286816
881		0.0280932
880.5		0.0284909
880		0.0289252
879.5		0.0303399
879		0.0300203
878.5		0.0305098
878		0.0303152
877.5		0.0303757
877		0.029145
876.5		0.031335
876		0.0290264
875.5		0.0304507
875		0.0302538
874.5		0.0307848
874		0.0316437
873.5		0.0309456
873		0.0315024
872.5		0.0304133
872		0.0310633
871.5		0.0311967
871		0.031465
870.5		0.0297128
870		0.0303212
869.5		0.0312344
869		0.0324032
868.5		0.031347
868		0.0308383
867.5		0.0294882
867		0.0314654
866.5		0.0303577
866		0.0311753
865.5		0.030085
865		0.0312972
864.5		0.0308819
864		0.0305237
863.5		0.0308599
863		0.031424
862.5		0.0315621
862		0.0310054
861.5		0.0322838
861		0.0314573
860.5		0.0316919
860		0.0311384
859.5		0.0314804
859		0.0317366
858.5		0.0322837
858		0.0313617
857.5		0.0320455
857		0.0316783
856.5		0.0322037
856		0.0317146
855.5		0.033264
855		0.0326098
854.5		0.0320665
854		0.0325171
853.5		0.0323381
853		0.032821
852.5		0.0325187
852		0.0323919
851.5		0.0326713
851		0.0326914
850.5		0.0329475
850		0.0326765
849.5		0.0329779
849		0.0330072
848.5		0.0334679
848		0.0330701
847.5		0.0328856
847		0.0332642
846.5		0.0332216
846		0.033386
845.5		0.0334521
845		0.033699
844.5		0.033669
844		0.0335869
843.5		0.0336349
843		0.0337744
842.5		0.0340123
842		0.0336292
841.5		0.0339503
841		0.0342615
840.5		0.0345169
840		0.034183
839.5		0.0341526
839		0.0345339
838.5		0.0347757
838		0.0346638
837.5		0.034725
837		0.0348584
836.5		0.0347257
836		0.0349263
835.5		0.0350495
835		0.0353245
834.5		0.0351539
834		0.0355441
833.5		0.0352217
833		0.0353455
832.5		0.0355865
832		0.0356042
831.5		0.0357853
831		0.0358066
830.5		0.0356822
830		0.0356148
829.5		0.0359633
829		0.0359591
828.5		0.0359741
828		0.0361518
827.5		0.0364869
827		0.036476
826.5		0.0365501
826		0.0363201
825.5		0.0363727
825		0.0369261
824.5		0.0368263
824		0.0367449
823.5		0.0367743
823		0.03683
822.5		0.0369258
822		0.0370075
821.5		0.036952
821		0.037148
820.5		0.037181
820		0.0373365
819.5		0.0375962
819		0.0376113
818.5		0.0372367
818		0.0374299
817.5		0.0378985
817		0.0377887
816.5		0.0380657
816		0.0380202
815.5		0.0380895
815		0.0380457
814.5		0.0382962
814		0.0382115
813.5		0.038323
813		0.0385
812.5		0.038573
812		0.0386923
811.5		0.0388311
811		0.0389883
810.5		0.0390259
810		0.0389883
809.5		0.0389986
809		0.0391235
808.5		0.0393157
808		0.0393079
807.5		0.0396317
807		0.0394961
806.5		0.0395356
806		0.0397397
805.5		0.0398721
805		0.0399479
804.5		0.03998
804		0.0401639
803.5		0.0403323
803		0.0402517
802.5		0.0404
802		0.0404151
801.5		0.0404798
801		0.0403767
800.5		0.0407736
800		0.0408
799.5		0.0411
799		0.0408143
