lambda		value

Calibration:
lambda:	800
Abs:	0.0008

Data:
#
900		0.491441
899.5		0.47657
899		0.485054
898.5		0.486051
898		0.461006
897.5		0.491908
897		0.476529
896.5		0.499488
896		0.476343
895.5		0.477586
895		0.498221
894.5		0.482453
894		0.468452
893.5		0.488685
893		0.511574
892.5		0.466366
892		0.483456
891.5		0.468563
891		0.485873
890.5		0.484517
890		0.468255
889.5		0.488031
889		0.488751
888.5		0.491588
888		0.473674
887.5		0.499496
887		0.473024
886.5		0.488869
886		0.498571
885.5		0.483839
885		0.47313
884.5		0.493308
884		0.502209
883.5		0.483452
883		0.495573
882.5		0.489992
882		0.474047
881.5		0.472236
881		0.480857
880.5		0.480302
880		0.478822
879.5		0.4771
879		0.489038
878.5		0.487947
878		0.486337
877.5		0.4831
877		0.496277
876.5		0.486639
876		0.494654
875.5		0.490553
875		0.476936
874.5		0.497314
874		0.49178
873.5		0.494212
873		0.489491
872.5		0.4865
872		0.481367
871.5		0.481277
871		0.486229
870.5		0.481253
870		0.489835
869.5		0.480276
869		0.476929
868.5		0.485316
868		0.480024
867.5		0.484494
867		0.486354
866.5		0.481701
866		0.486742
865.5		0.489947
865		0.48877
864.5		0.48321
864		0.485575
863.5		0.485357
863		0.480295
862.5		0.491603
862		0.481114
861.5		0.487435
861		0.49145
860.5		0.490615
860		0.482235
859.5		0.487836
859		0.484169
858.5		0.482851
858		0.484903
857.5		0.485563
857		0.485987
856.5		0.481456
856		0.486411
855.5		0.483801
855		0.489634
854.5		0.484845
854		0.485762
853.5		0.488633
853		0.488637
852.5		0.486785
852		0.48557
851.5		0.488074
851		0.488287
850.5		0.48886
850		0.488653
849.5		0.488043
849		0.486698
848.5		0.488129
848		0.488836
847.5		0.490018
847		0.488887
846.5		0.48974
846		0.490016
845.5		0.490392
845		0.490357
844.5		0.489032
844		0.490163
843.5		0.487205
843		0.488634
842.5		0.492381
842		0.489341
841.5		0.491828
841		0.491008
840.5		0.490943
840		0.49298
839.5		0.489875
839		0.490097
838.5		0.4912
838		0.491823
837.5		0.491188
837		0.492468
836.5		0.493298
836		0.491435
835.5		0.492073
835		0.492453
834.5		0.494236
834		0.492448
833.5		0.493794
833		0.493442
832.5		0.493335
832		0.494575
831.5		0.493534
831		0.494127
830.5		0.495362
830		0.495022
829.5		0.494018
829		0.492991
828.5		0.494864
828		0.494468
827.5		0.494662
827		0.494813
826.5		0.493771
826		0.494807
825.5		0.494365
825		0.495905
824.5		0.495905
824		0.495453
823.5		0.49625
823		0.495855
822.5		0.496144
822		0.495957
821.5		0.496052
821		0.496702
820.5		0.496109
820		0.497053
819.5		0.497348
819		0.497347
818.5		0.494855
818		0.496494
817.5		0.496889
817		0.495948
816.5		0.49695
816		0.496055
815.5		0.49546
815		0.497796
814.5		0.497848
814		0.497848
813.5		0.496595
813		0.497398
812.5		0.49785
812		0.498199
811.5		0.497596
811		0.496848
810.5		0.496354
810		0.498749
809.5		0.497405
809		0.497797
808.5		0.496996
808		0.497297
807.5		0.498598
807		0.498249
806.5		0.498748
806		0.498497
805.5		0.49825
805		0.499399
804.5		0.49915
804		0.49835
803.5		0.499299
803		0.498501
802.5		0.4997
802		0.497753
801.5		0.49935
801		0.500551
800.5		0.498154
800		0.4998
799.5		0.5
799		0.49985
798.5		0.49975
798		0.49975
797.5		0.500752
797		0.4993
796.5		0.5002
796		0.498901
795.5		0.50005
795		0.5007
794.5		0.49985
794		0.501099
793.5		0.499101
793		0.501401
792.5		0.5018
792		0.502254
791.5		0.500349
791		0.499203
790.5		0.5005
790		0.499701
789.5		0.50075
789		0.501399
788.5		0.502201
788		0.501648
