lambda		value

Calibration:
lambda:	800
Abs:	0.0006

Data:
#
800		0.0348209
799.5		0.0347208
799		0.0348477
798.5		0.0346965
798		0.0350965
797.5		0.0351809
797		0.035093
796.5		0.035079
796		0.0351508
795.5		0.0353682
795		0.0354142
794.5		0.0354035
794		0.0356715
793.5		0.0355431
793		0.0357214
792.5		0.0358
792		0.0361615
791.5		0.0358319
791		0.0357499
790.5		0.0361711
790		0.035992
789.5		0.0363036
789		0.0362565
788.5		0.0366146
788		0.0365452
787.5		0.0366524
787		0.0369963
786.5		0.0366304
786		0.0368636
785.5		0.0370889
785		0.0368526
784.5		0.0370481
784		0.0371406
783.5		0.0372144
783		0.0376113
782.5		0.0373403
782		0.0373953
781.5		0.0376511
781		0.0377133
780.5		0.0376172
780		0.0381047
779.5		0.0376435
779		0.0379393
778.5		0.0381816
778		0.0382656
777.5		0.0381588
777		0.0382851
776.5		0.0387071
776		0.0384577
775.5		0.0386339
775		0.0389766
774.5		0.038519
774		0.0387806
773.5		0.0390064
773		0.0392548
772.5		0.0393253
772		0.0390127
771.5		0.0395446
771		0.039454
770.5		0.0393348
770		0.0395012
769.5		0.0399801
769		0.039673
768.5		0.0400398
768		0.0399323
767.5		0.0402671
767		0.040203
766.5		0.0403708
766		0.0406147
765.5		0.0404745
765		0.0406238
764.5		0.0408021
764		0.0406455
763.5		0.041018
763		0.0409828
762.5		0.0411642
762		0.0413388
761.5		0.0412443
761		0.0414508
760.5		0.0416459
760		0.0418786
759.5		0.041621
759		0.0419733
758.5		0.0419114
758		0.0421639
757.5		0.04199
757		0.0422843
756.5		0.0423586
756		0.0425256
755.5		0.0425998
755		0.0426866
754.5		0.0428074
754		0.0429691
753.5		0.0434479
753		0.0432271
752.5		0.0430289
752		0.0434696
751.5		0.0434308
751		0.0436599
750.5		0.0437332
750		0.043932
749.5		0.0439801
749		0.0439484
748.5		0.0441352
748		0.0443428
747.5		0.0442988
747		0.0446855
746.5		0.0445437
746		0.0448444
745.5		0.0448858
745		0.0448769
744.5		0.0450486
744		0.0449906
743.5		0.0453418
743		0.0453553
742.5		0.0455448
742		0.0457205
741.5		0.0457743
741		0.0458734
740.5		0.0458961
740		0.0460487
739.5		0.0462393
739		0.0462147
738.5		0.046134
738		0.0464448
737.5		0.046606
737		0.0467715
736.5		0.0470635
736		0.0471763
735.5		0.0472332
735		0.0471577
734.5		0.0474032
734		0.0474827
733.5		0.047666
733		0.04776
732.5		0.0477597
732		0.0478624
731.5		0.0480779
731		0.0481383
730.5		0.0485934
730		0.0484646
729.5		0.0486465
729		0.0487423
728.5		0.0486138
728		0.0490906
727.5		0.0488993
727		0.0491611
726.5		0.049337
726		0.0494127
725.5		0.0496213
725		0.049574
724.5		0.0498358
724		0.0499085
723.5		0.0503466
723		0.0499376
722.5		0.0504121
722		0.0503673
721.5		0.0507329
721		0.0506917
720.5		0.0508651
720		0.0510397
719.5		0.0508459
719		0.0514076
718.5		0.0514623
718		0.0517727
717.5		0.051881
717		0.0521975
716.5		0.0520443
716		0.0522164
715.5		0.0526167
715		0.0530504
714.5		0.0532117
714		0.053153
713.5		0.0534366
713		0.0535646
712.5		0.0536642
712		0.053861
711.5		0.0540122
711		0.0542192
710.5		0.0543563
710		0.0547089
709.5		0.0546272
709		0.0549784
708.5		0.0552009
708		0.0551135
707.5		0.055468
707		0.0557089
706.5		0.0559992
706		0.0559012
705.5		0.0560978
705		0.0560158
704.5		0.0564699
704		0.0567453
703.5		0.0568585
703		0.056667
702.5		0.0570245
702		0.0573374
701.5		0.0573795
701		0.0577208
700.5		0.0579467
700		0.0578382
699.5		0.0582889
