lambda		value

Calibration:
lambda:	800
Abs:	0

Data:
#
800		0.509346
799.5		0.509346
799		0.507721
798.5		0.508208
798		0.506734
797.5		0.508242
797		0.506924
796.5		0.506495
796		0.506146
795.5		0.506102
795		0.50638
794.5		0.505844
794		0.505261
793.5		0.504573
793		0.504949
792.5		0.503824
792		0.50413
791.5		0.502994
791		0.501994
790.5		0.502487
790		0.501806
789.5		0.503435
789		0.502539
788.5		0.501616
788		0.50065
787.5		0.500608
787		0.500104
786.5		0.500167
786		0.4991
785.5		0.500145
785		0.498148
784.5		0.499412
784		0.498153
783.5		0.498781
783		0.497894
782.5		0.49753
782		0.496315
781.5		0.497553
781		0.496265
780.5		0.495198
780		0.495347
779.5		0.495473
779		0.495551
778.5		0.492963
778		0.493929
777.5		0.49329
777		0.492885
776.5		0.492473
776		0.492528
775.5		0.489726
775		0.491684
774.5		0.491364
774		0.491152
773.5		0.489647
773		0.490103
772.5		0.489763
772		0.48885
771.5		0.490162
771		0.488664
770.5		0.487957
770		0.488567
769.5		0.487153
769		0.486577
768.5		0.48529
768		0.48635
767.5		0.485979
767		0.485662
766.5		0.485137
766		0.48455
765.5		0.484071
765		0.483305
764.5		0.48377
764		0.483327
763.5		0.483791
763		0.482204
762.5		0.484059
762		0.482137
761.5		0.480104
761		0.481758
760.5		0.480596
760		0.480694
759.5		0.479777
759		0.479103
758.5		0.478894
758		0.477545
757.5		0.478897
757		0.477034
756.5		0.476359
756		0.477503
755.5		0.475869
755		0.477349
754.5		0.476244
754		0.474023
753.5		0.474936
753		0.474773
752.5		0.473352
752		0.472718
751.5		0.471661
751		0.472822
750.5		0.471616
750		0.471869
749.5		0.471097
749		0.470167
748.5		0.470411
748		0.46935
747.5		0.470128
747		0.469949
746.5		0.467894
746		0.468875
745.5		0.466469
745		0.466546
744.5		0.466948
744		0.465503
743.5		0.465849
743		0.464596
742.5		0.464815
742		0.464266
741.5		0.463619
741		0.462051
740.5		0.46271
740		0.462121
739.5		0.462457
739		0.460815
738.5		0.460182
738		0.459322
737.5		0.458575
737		0.459312
736.5		0.457662
736		0.457865
735.5		0.457034
735		0.45671
734.5		0.455276
734		0.454837
733.5		0.454887
733		0.453799
732.5		0.450981
732		0.45142
731.5		0.450235
731		0.449336
730.5		0.4488
730		0.446828
729.5		0.447211
729		0.446166
728.5		0.444543
728		0.444312
727.5		0.442138
727		0.441077
726.5		0.440362
726		0.438102
725.5		0.437584
725		0.436191
724.5		0.43356
724		0.432212
723.5		0.43127
723		0.429692
722.5		0.428576
722		0.425188
721.5		0.42332
721		0.42218
720.5		0.420043
720		0.419071
719.5		0.417426
719		0.416217
718.5		0.415146
718		0.414066
717.5		0.412912
717		0.413066
716.5		0.413626
716		0.41302
715.5		0.413968
715		0.41605
714.5		0.417979
714		0.418386
713.5		0.420006
713		0.42085
712.5		0.422002
712		0.423053
711.5		0.423363
711		0.424475
710.5		0.425968
710		0.42813
709.5		0.427577
709		0.427402
708.5		0.429365
708		0.429002
707.5		0.429885
707		0.430488
706.5		0.430545
706		0.429521
705.5		0.427984
705		0.427173
704.5		0.428046
704		0.427497
703.5		0.425934
703		0.426182
702.5		0.426192
702		0.425268
701.5		0.424311
701		0.425188
700.5		0.424314
700		0.422348
699.5		0.423713
699		0.423293
698.5		0.421209
698		0.420623
697.5		0.422007
697		0.419941
696.5		0.420749
696		0.419872
695.5		0.419717
695		0.418007
694.5		0.418772
694		0.418384
693.5		0.41754
693		0.41695
692.5		0.415449
692		0.416726
691.5		0.414743
691		0.414654
690.5		0.414479
690		0.413256
689.5		0.413631
689		0.413908
688.5		0.413162
688		0.412503
