NOTE: the film was annealed, Temperature and rates are not reported in the article

Thick: 3.96

wl	n
0.350	2.19199681
0.355	2.11002639
0.360	2.04373237
0.365	1.99087656
0.370	1.94936904
0.375	1.91727938
0.380	1.89283766
0.385	1.87442737
0.390	1.86057493
0.395	1.84993965
0.400	1.84130678
0.405	1.83358444
0.410	1.82580416
0.415	1.81712371
0.420	1.80683064
0.425	1.79434505
0.430	1.77922043
0.435	1.76114160
0.440	1.73991981
0.445	1.71548498
0.450	1.68787558
0.455	1.65722687
0.460	1.62375806
0.465	1.58775885
0.470	1.54957576
0.475	1.50959830
0.480	1.46824527
0.485	1.42595095
0.490	1.38315153
0.495	1.34027197
0.500	1.29771375
0.505	1.25584411
0.510	1.21498732
0.515	1.17541859
0.520	1.13736083
0.525	1.10098417
0.530	1.06640818
0.535	1.03370599
0.540	1.00290985
0.545	0.97401747
0.550	0.94699851
0.555	0.92180080
0.560	0.89835601
0.565	0.87658460
0.570	0.85639996
0.575	0.83771171
0.580	0.82042839
0.585	0.80445943
0.590	0.78971659
0.595	0.77611501
0.600	0.76357389
0.605	0.75201686
0.610	0.74137221
0.615	0.73157290
0.620	0.72255655
0.625	0.71426521
0.630	0.70664526
0.635	0.69964711
0.640	0.69322499
0.645	0.68733670
0.650	0.68194334
0.655	0.67700908
0.660	0.67250092
0.665	0.66838849
0.670	0.66464379
0.675	0.66124106
0.680	0.65815654
0.685	0.65536833
0.690	0.65285625
0.695	0.65060166
0.700	0.64858738
0.705	0.64679749
0.710	0.64521733
0.715	0.64383330
0.720	0.64263283
0.725	0.64160427
0.730	0.64073683
0.735	0.64002049
0.740	0.63944595
0.745	0.63900458
0.750	0.63868837
0.755	0.63848983
0.760	0.63840201
0.765	0.63841846
0.770	0.63853312
0.775	0.63874037
0.780	0.63903495
0.785	0.63941195
0.790	0.63986679
0.795	0.64039516
0.800	0.64099305
0.805	0.64165670
0.810	0.64238257
0.815	0.64316736
0.820	0.64400797
0.825	0.64490147
0.830	0.64584513
0.835	0.64683638
0.840	0.64787278
0.845	0.64895206
0.850	0.65007208
0.855	0.65123080
0.860	0.65242633
0.865	0.65365685
0.870	0.65492068
0.875	0.65621620
0.880	0.65754191
0.885	0.65889636
0.890	0.66027821
0.895	0.66168617
0.900	0.66311903
0.905	0.66457564
0.910	0.66605491
0.915	0.66755581
0.920	0.66907735
0.925	0.67061861
0.930	0.67217871
0.935	0.67375680
0.940	0.67535210
0.945	0.67696384
0.950	0.67859130
0.955	0.68023381
0.960	0.68189071
0.965	0.68356138
0.970	0.68524522
0.975	0.68694168
0.980	0.68865023
0.985	0.69037034
0.990	0.69210153
0.995	0.69384334
1.000	0.69559533
1.005	0.69735706
1.010	0.69912813
