Thick: 4.1


wl	n
0.3	1.469
0.31	1.621
0.32	1.739
0.33	1.823
0.34	1.823
0.35	1.872
0.36	1.791
0.37	1.685
0.38	1.645
0.39	1.602
0.4	1.534
0.41	1.474
0.42	1.403
0.43	1.318
0.44	1.242
0.45	1.176
0.46	1.109
0.47	1.034
0.48	0.934
0.49	0.890
0.5	0.850
0.51	0.821
0.52	0.799
0.53	0.768
0.54	0.740
0.55	0.735
0.56	0.687
0.57	0.653
0.58	0.631
0.59	0.610
0.6	0.581
0.61	0.553
0.62	0.534
0.63	0.523
0.64	0.514
0.65	0.510
0.66	0.507
0.67	0.510
0.68	0.523
0.69	0.544
0.7	0.529
0.71	0.556
0.72	0.575
0.73	0.588
0.74	0.603
0.75	0.628
0.76	0.657
0.77	0.678
0.78	0.696
0.79	0.716
0.8	0.738
0.81	0.764
0.82	0.798
0.83	0.835
0.84	0.874
0.85	0.924
0.86	0.934
0.87	0.943
0.88	0.952
0.89	0.962
0.9	0.970
0.91	0.976
0.92	0.981
0.93	0.986
0.94	0.988
0.95	0.989
0.96	0.987
0.97	0.979
0.98	0.968
0.99	0.953
1	0.927
1.01	0.943
1.02	0.957
1.03	0.970
1.04	0.981
1.05	0.992
1.06	1.000
1.07	1.009
1.08	1.016
1.09	1.023
1.1	1.029
1.11	1.034
1.12	1.038
1.13	1.042
1.14	1.045
1.15	1.046
1.16	1.049
1.17	1.050
1.18	1.051
1.19	1.052
1.2	1.052
1.21	1.052
1.22	1.055
1.23	1.055
1.24	1.054
1.25	1.055
1.26	1.058
1.27	1.063
1.28	1.066
1.29	1.070
1.3	1.075
1.31	1.078
1.32	1.083
1.33	1.090
1.34	1.097
1.35	1.105
1.36	1.114
1.37	1.121
1.38	1.131
1.39	1.141
1.4	1.152
1.41	1.160
1.42	1.167
1.43	1.177
1.44	1.186
1.45	1.197
1.46	1.208
1.47	1.218
1.48	1.227
1.49	1.237
1.5	1.247
1.51	1.257
1.52	1.267
